ID;Please select your age range.;Please select your gender.;What type of secondary school did you attend?;What is your average matric result?;Please select what type of student are you at Eduvos;Which faculty are you in at Eduvos?;What is your current grade average? (The current average of the program you are enrolled in).;How many hours do you study every week on average?;Do you have access to the following? Please select all that applies to you .);Has online learning had an impact on your ability to study?
1426;24-26 years;Female;Private;70-79%;Full-time student;Commerce and Law;80-89%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";Yes
1427;21-23 years;Female;State/Public;60-69%;Full-time student;Applied Sciences;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1428;21-23 years;Female;State/Public;70-79%;Part-time student;Commerce and Law;80-89%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";No
1429;21-23 years;Male;State/Public;50-59%;Full-time student;Applied Sciences;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1430;21-23 years;Male;State/Public;50-59%;Full-time student;Information Technology;50-59%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";Yes
1431;26 +;Male;State/Public;70-79%;Part-time student;Information Technology;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1432;26 +;Male;State/Public;70-79%;Part-time student;Information Technology;60-69%;1 - 10 hours weekly;"Access to the internet to help you with your studies.;Electricity at your place of study;A location or place where you may study;";No
1433;26 +;Female;State/Public;60-69%;Part-time student;Information Technology;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1434;17-20 years;Female;Private;60-69%;Full-time student;Arts and Humanities;70-79%;10 - 20 hours weekly;"Access to the internet to help you with your studies.;Electricity at your place of study;A location or place where you may study;";Yes
1435;21-23 years;Male;State/Public;60-69%;Full-time student;Commerce and Law;60-69%;10 - 20 hours weekly;"Access to the internet to help you with your studies.;Electricity at your place of study;A location or place where you may study;";No
1436;21-23 years;Male;Private;70-79%;Part-time student;Commerce and Law;Below 40%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1437;24-26 years;Male;State/Public;50-59%;Part-time student;Information Technology;80-89%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1438;26 +;Female;Private;60-69%;Part-time student;Commerce and Law;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1439;21-23 years;Female;Private;80-89%;Part-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1440;21-23 years;Female;State/Public;60-69%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1441;17-20 years;Female;State/Public;70-79%;Full-time student;Arts and Humanities;80-89%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1442;21-23 years;Male;Private;50-59%;Full-time student;Arts and Humanities;70-79%;1 - 10 hours weekly;"Access to the internet to help you with your studies.;Electricity at your place of study;A location or place where you may study;";No
1443;17-20 years;Female;Private;60-69%;Full-time student;Commerce and Law;70-79%;10 - 20 hours weekly;"Electricity at your place of study;A location or place where you may study;Access to the internet to help you with your studies.;";No
1444;17-20 years;Female;State/Public;70-79%;Full-time student;Arts and Humanities;70-79%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1445;17-20 years;Male;State/Public;70-79%;Full-time student;Information Technology;80-89%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1446;17-20 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1447;17-20 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1448;17-20 years;Female;State/Public;60-69%;Full-time student;Commerce and Law;Below 40%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";Yes
1449;17-20 years;Male;Private;60-69%;Full-time student;Arts and Humanities;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1450;17-20 years;Male;State/Public;50-59%;Full-time student;Arts and Humanities;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1451;17-20 years;Male;Private;70-79%;Full-time student;Information Technology;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1452;21-23 years;Female;State/Public;50-59%;Full-time student;Commerce and Law;70-79%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1453;17-20 years;Female;State/Public;70-79%;Full-time student;Information Technology;70-79%;1 - 10 hours weekly;"A location or place where you may study;Access to the internet to help you with your studies.;Electricity at your place of study;";No
1454;17-20 years;Female;Private;60-69%;Full-time student;Applied Sciences;50-59%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1455;17-20 years;Female;State/Public;70-79%;Full-time student;Arts and Humanities;50-59%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1456;17-20 years;Female;State/Public;60-69%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1457;17-20 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1458;17-20 years;Female;Private;60-69%;Full-time student;Applied Sciences;60-69%;30+ hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1459;21-23 years;Male;Private;60-69%;Full-time student;Information Technology;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1460;17-20 years;Male;State/Public;60-69%;Full-time student;Information Technology;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1461;17-20 years;Male;Private;70-79%;Full-time student;Information Technology;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
1462;21-23 years;Female;State/Public;60-69%;Full-time student;Commerce and Law;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
1463;21-23 years;Male;State/Public;60-69%;Full-time student;Commerce and Law;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
